Id_Produto;Nome_Produto;Categoria;R$_Unit
1;Consultoria em Eficiência Energética;Serviços tecnológicos;120,22
2;Consultoria em Lean Manufacturing;Serviços tecnológicos;282,28
3;Consultoria em Sustentabilidade e ESG;Serviços tecnológicos;148,14
4;Consultoria em Gestão da Qualidade;Serviços tecnológicos;679,93
5;Consultoria em Transformação Digital;Serviços tecnológicos;96,07
6;Consultoria em Manutenção Preditiva;Serviços tecnológicos;41,46
7;Consultoria em Gestão de Processos;Serviços tecnológicos;226,45
8;Consultoria em Logística e Cadeia de Suprimentos;Serviços tecnológicos;606
9;Consultoria em Indústria 4.0;Serviços tecnológicos;206,85
10;Consultoria em Segurança do Trabalho;Serviços tecnológicos;704,31
11;Consultoria em Otimização de Layout Industrial;Serviços tecnológicos;228,24
12;Consultoria em Gestão da Inovação;Serviços tecnológicos;285,41
13;Consultoria em Certificações (ISO, IATF etc.);Serviços tecnológicos;761,22
14;Consultoria em Eficiência Hídrica;Serviços tecnológicos;701,16
15;Consultoria em Digitalização de Processos;Serviços tecnológicos;285,09
16;Consultoria em Automação Industrial;Serviços tecnológicos;957,64
17;Consultoria em Cálculo Estrutural;Serviços tecnológicos;111,19
18;Consultoria em Design de Produto;Serviços tecnológicos;105,75
19;Consultoria em Inteligência de Mercado;Serviços tecnológicos;607,69
20;Consultoria em Gestão de Resíduos Industriais;Serviços tecnológicos;732,43
21;Ensaio de Dimensional;Serviços metrológicos;133,58
22;Ensaio de Dureza;Serviços metrológicos;88,01
23;Ensaio de Tração;Serviços metrológicos;831,11
24;Ensaio de Compressão;Serviços metrológicos;886,6
25;Ensaio de Impacto;Serviços metrológicos;581,58
26;Ensaio de Rugosidade;Serviços metrológicos;78,86
27;Ensaio de Condutividade Elétrica;Serviços metrológicos;235,62
28;Ensaio de Resistência de Isolamento;Serviços metrológicos;985,37
29;Ensaio de Vibração;Serviços metrológicos;867,82
30;Ensaio de Corrosão;Serviços metrológicos;285,19
31;Ensaio de Fluorescência por Raio X;Serviços metrológicos;835,77
32;Ensaio de Torção;Serviços metrológicos;376,48
33;Ensaio de Análise Térmica;Serviços metrológicos;673,47
34;Ensaio de Medição Tridimensional;Serviços metrológicos;937,29
35;Ensaio de Estanqueidade;Serviços metrológicos;80,69
36;Desenvolvimento de novos materiais compostos;PD&I;179,43
37;Projeto de novos sensores inteligentes;PD&I;252,36
38;Otimização de processos industriais com IA;PD&I;385,66
39;Criação de sistemas de monitoramento remoto;PD&I;691,28
40;Desenvolvimento de máquinas e equipamentos inovadores;PD&I;687,77
41;Pesquisa aplicada para redução de emissões industriais;PD&I;236,76
42;Projeto de reuso de resíduos industriais;PD&I;807
43;Desenvolvimento de produtos conectados (IoT);PD&I;275,06
44;Projeto de digital twins para manutenção preditiva;PD&I;914
45;Desenvolvimento de algoritmos preditivos;PD&I;877,6
46;Inovação em embalagens sustentáveis;PD&I;220,5
47;Implantação de tecnologias de manufatura aditiva;PD&I;401,68
48;Projeto de novos processos de reciclagem industrial;PD&I;464,26
